Category,Setting,Current Value,Type,Min,Max,Location,Impact,Priority,Tuning Notes
Alert Prioritization,criticalThreshold,80,integer,60,100,ConfigManager:710,Alert volume,CRITICAL,"Lower = more CRITICAL alerts. Start 80, decrease if missing major opportunities"
Alert Prioritization,highThreshold,60,integer,40,80,ConfigManager:711,Alert volume,CRITICAL,"Lower = more HIGH alerts. Balance with rate limits"
Alert Prioritization,mediumThreshold,40,integer,20,60,ConfigManager:712,Alert volume,HIGH,"Lower = more MEDIUM alerts. Consider Discord notification fatigue"
Alert Prioritization,maxPerHourCritical,10,integer,1,100,ConfigManager:131,Rate limiting,HIGH,"Unlimited in config, set conservatively. 5-20 recommended"
Alert Prioritization,maxPerHourHigh,20,integer,5,100,ConfigManager:135,Rate limiting,HIGH,"Control HIGH alert flood. 10-30 recommended"
Alert Prioritization,maxPerHourMedium,50,integer,10,200,ConfigManager:139,Rate limiting,MEDIUM,"Balance discovery vs noise. 30-100 recommended"
Alert Prioritization,maxPerHourLow,100,integer,20,500,ConfigManager:143,Rate limiting,LOW,"Usually disabled in Discord. 50-200 if enabled"
Alert Prioritization,cooldownMinutesCritical,30,integer,5,120,ConfigManager:132,Duplicate prevention,MEDIUM,"Prevent same-market spam. 15-60 recommended"
Alert Prioritization,cooldownMinutesHigh,60,integer,15,240,ConfigManager:136,Duplicate prevention,MEDIUM,"Balance updates vs spam. 30-120 recommended"
Alert Prioritization,cooldownMinutesMedium,120,integer,30,480,ConfigManager:140,Duplicate prevention,LOW,"Can be longer for MEDIUM. 60-180 recommended"
Alert Prioritization,cooldownMinutesLow,240,integer,60,720,ConfigManager:144,Duplicate prevention,LOW,"Long cooldown for LOW priority. 120-360 recommended"
Alert Prioritization,minOpportunityScore,30,integer,0,80,ConfigManager:150,Quality filter,HIGH,"Don't alert below this score. 20-50 recommended"
Alert Prioritization,minCategoryScore,2,integer,0,10,ConfigManager:151,Quality filter,MEDIUM,"Min keyword matches for alert. 1-5 recommended"
Alert Prioritization,minVolumeRatio,0.2,float,0.1,1.0,ConfigManager:153,Quality filter,MEDIUM,"Min volume/threshold ratio. 0.1-0.5 recommended"
Alert Prioritization,tierAdjustmentActive,0,integer,-20,20,ConfigManager:119,Tier weighting,LOW,"Score boost for ACTIVE tier. Usually 0"
Alert Prioritization,tierAdjustmentWatchlist,5,integer,-10,30,ConfigManager:123,Tier weighting,MEDIUM,"Boost WATCHLIST discoveries. 0-10 recommended"

Opportunity Scoring,volumeScoreWeight,0.3,float,0.1,0.5,ConfigManager:664,Scoring balance,CRITICAL,"30% of total score. Adjust if over/under-valuing liquidity"
Opportunity Scoring,edgeScoreWeight,0.25,float,0.1,0.5,ConfigManager:675,Scoring balance,CRITICAL,"25% of total score. Adjust based on information edge importance"
Opportunity Scoring,catalystScoreWeight,0.25,float,0.1,0.5,ConfigManager:686,Scoring balance,CRITICAL,"25% of total score. Time urgency importance"
Opportunity Scoring,qualityScoreWeight,0.2,float,0.1,0.5,ConfigManager:697,Scoring balance,CRITICAL,"20% of total score. Market efficiency weight. Total must = 1.0"
Opportunity Scoring,optimalVolumeMultiplier,1.5,float,1.0,3.0,ConfigManager:666,Volume scoring,HIGH,"Optimal volume = threshold Ã— multiplier. 1.2-2.0 recommended"
Opportunity Scoring,illiquidityPenaltyThreshold,0.3,float,0.1,0.8,ConfigManager:667,Volume scoring,MEDIUM,"Penalty below 30% of threshold. Lower = stricter"
Opportunity Scoring,efficiencyPenaltyThreshold,5.0,float,2.0,10.0,ConfigManager:668,Volume scoring,MEDIUM,"Penalty above 5x threshold. Lower = favor smaller markets"
Opportunity Scoring,categoryScoreWeight,0.4,float,0.2,0.8,ConfigManager:677,Edge scoring,MEDIUM,"How much category confidence affects edge. 0.3-0.6 recommended"
Opportunity Scoring,multiOutcomeBonus,0.5,float,0.2,2.0,ConfigManager:678,Edge scoring,LOW,"Bonus per outcome above 5. Multi-outcome edge"
Opportunity Scoring,maxMultiOutcomeBonus,5.0,float,2.0,10.0,ConfigManager:679,Edge scoring,LOW,"Cap on multi-outcome bonus"
Opportunity Scoring,optimalDaysToClose,4.0,float,1.0,14.0,ConfigManager:688,Catalyst scoring,HIGH,"Sweet spot for action. 3-7 days recommended"
Opportunity Scoring,minDaysToClose,0.5,float,0.1,2.0,ConfigManager:689,Catalyst scoring,MEDIUM,"Too soon to act effectively. 0.25-1.0 recommended"
Opportunity Scoring,maxDaysToClose,30,integer,14,90,ConfigManager:690,Catalyst scoring,MEDIUM,"Too far to matter. 20-60 recommended"
Opportunity Scoring,urgencyMultiplier,1.5,float,1.0,3.0,ConfigManager:691,Catalyst scoring,MEDIUM,"Boost for <7 days to close. 1.2-2.0 recommended"
Opportunity Scoring,spreadWeight,0.4,float,0.2,0.8,ConfigManager:699,Quality scoring,MEDIUM,"How much spread affects quality. 0.3-0.6 recommended"
Opportunity Scoring,ageWeight,0.3,float,0.1,0.6,ConfigManager:700,Quality scoring,LOW,"Newer = less discovered. 0.2-0.5 recommended"
Opportunity Scoring,liquidityWeight,0.3,float,0.1,0.6,ConfigManager:701,Quality scoring,MEDIUM,"Orderbook depth importance. 0.2-0.5 recommended"
Opportunity Scoring,optimalSpreadBps,150,integer,50,500,ConfigManager:702,Quality scoring,HIGH,"Target spread in bps. 100-300 recommended"
Opportunity Scoring,maxAgeDays,60,integer,30,180,ConfigManager:703,Quality scoring,LOW,"Age stops mattering. 30-90 recommended"

Market Filtering,minVolumeThreshold,15000,integer,1000,100000,detection-config.json:142 / ConfigManager:245,Discovery threshold,CRITICAL,"Primary volume filter. Lower = more markets. 5k-50k range"
Market Filtering,maxDaysToResolution,90,integer,7,365,detection-config.json:5 / ConfigManager:10,Time filter,HIGH,"Ignore markets closing too far out. 30-180 recommended"
Market Filtering,minDaysToResolution,1,integer,0,14,detection-config.json:6 / ConfigManager:10,Time filter,MEDIUM,"Ignore markets closing too soon. 0.5-3 recommended"
Market Filtering,scoreThreshold,0.6,float,0.3,0.9,detection-config.json:87 / ConfigManager:17,Quality filter,MEDIUM,"Event-based market quality. 0.4-0.8 recommended"
Market Filtering,maxMarketsToTrack,100,integer,50,500,detection-config.json:143 / ConfigManager:246,Performance,HIGH,"System capacity limit. Adjust based on resources"
Market Filtering,refreshIntervalMs,300000,integer,30000,900000,detection-config.json:144 / ConfigManager:247,Performance,MEDIUM,"Market refresh rate (5min default). 1-10min range"
Market Filtering,inactivityTimeoutMs,3600000,integer,600000,14400000,detection-config.json:145 / ConfigManager:248,Cleanup,LOW,"Remove inactive markets (1hr). 30min-4hr range"

Signal Detection,volumeSpikeMultiplier,1.2,float,1.1,10.0,detection-config.json:91 / ConfigManager:188,Sensitivity,CRITICAL,"Volume increase threshold. Lower = more sensitive. 1.5-5.0 recommended"
Signal Detection,volumeSpikeWindowMs,180000,integer,60000,600000,detection-config.json:92 / ConfigManager:189,Signal timing,MEDIUM,"Volume comparison window (3min). 2-10min range"
Signal Detection,volumeSpikeMinConfidence,0.5,float,0.3,0.9,detection-config.json:93 / ConfigManager:190,Quality filter,MEDIUM,"Min confidence to alert. 0.4-0.8 recommended"
Signal Detection,priceMovementThreshold,1.5,float,0.5,20.0,detection-config.json:96 / ConfigManager:193,Sensitivity,CRITICAL,"Price change % to trigger. Lower = more sensitive. 2-10% recommended"
Signal Detection,priceMovementWindowMs,300000,integer,60000,900000,detection-config.json:97 / ConfigManager:194,Signal timing,MEDIUM,"Price comparison window (5min). 2-15min range"
Signal Detection,priceMovementMinVolume,5000,integer,1000,50000,detection-config.json:98 / ConfigManager:195,Quality filter,HIGH,"Min volume for price signals. 1k-20k range"
Signal Detection,baselineExpectedChange,2,float,0.5,10.0,detection-config.json:99 / ConfigManager:196,Confidence calc,LOW,"Expected baseline price change. 1-5% typical"
Signal Detection,correlationThreshold,0.5,float,0.3,0.95,detection-config.json:102 / ConfigManager:199,Cross-market,HIGH,"Min correlation for coordinated move. 0.4-0.8 recommended"
Signal Detection,minMarketsForCorrelation,2,integer,2,10,detection-config.json:103 / ConfigManager:200,Cross-market,MEDIUM,"Min markets for correlation. 2-5 recommended"
Signal Detection,zScoreThreshold,1.5,float,1.0,3.0,detection-config.json:104 / ConfigManager:201,Statistical,MEDIUM,"Statistical significance. 1.5-2.5 recommended"
Signal Detection,baselineActivityScore,40,integer,20,80,detection-config.json:107 / ConfigManager:204,Activity detection,MEDIUM,"Expected baseline activity. 30-60 typical"
Signal Detection,activityThreshold,60,integer,40,100,detection-config.json:108 / ConfigManager:205,Activity detection,HIGH,"Min activity to trigger. 50-80 recommended"

Microstructure,orderbookImbalanceThreshold,0.15,float,0.05,0.5,detection-config.json:113 / ConfigManager:212,Orderbook analysis,HIGH,"Buy/sell imbalance ratio. Lower = more sensitive. 0.1-0.3 recommended"
Microstructure,orderbookDepth,20,integer,5,100,detection-config.json:114 / ConfigManager:213,Orderbook analysis,MEDIUM,"Depth levels to analyze. 10-50 recommended"
Microstructure,minSpreadBps,5,integer,1,50,detection-config.json:115 / ConfigManager:214,Quality filter,MEDIUM,"Min spread for analysis. 3-20 bps recommended"
Microstructure,liquidityVacuumDepthDrop,15,float,5.0,50.0,detection-config.json:118 / ConfigManager:217,Liquidity detection,HIGH,"% depth drop threshold. Lower = more sensitive. 10-30% recommended"
Microstructure,liquidityVacuumSpreadWiden,1.5,float,1.2,5.0,detection-config.json:119 / ConfigManager:218,Liquidity detection,HIGH,"Spread widening multiplier. 1.3-3.0 recommended"
Microstructure,liquidityVacuumDurationMs,30000,integer,10000,300000,detection-config.json:120 / ConfigManager:219,Liquidity detection,LOW,"Min duration (30sec). 15-60sec recommended"
Microstructure,frontRunningScoreThreshold,0.5,float,0.3,0.9,detection-config.json:123 / ConfigManager:222,Front-run detection,HIGH,"Detection threshold. 0.4-0.7 recommended"
Microstructure,frontRunningVolumeWeight,0.4,float,0.2,0.8,detection-config.json:124 / ConfigManager:223,Front-run detection,MEDIUM,"Volume weight in score. 0.3-0.6 recommended"
Microstructure,frontRunningSpreadImpact,1.2,float,1.1,3.0,detection-config.json:125 / ConfigManager:224,Front-run detection,MEDIUM,"Spread impact threshold. 1.15-2.0 recommended"

Statistical,anomalyZScoreThreshold,1.5,float,1.0,4.0,detection-config.json:130 / ConfigManager:231,Anomaly detection,HIGH,"Z-score threshold. Higher = fewer anomalies. 1.5-3.0 recommended"
Statistical,mahalanobisThreshold,2,float,1.0,5.0,detection-config.json:131 / ConfigManager:232,Anomaly detection,MEDIUM,"Multivariate distance. 1.5-3.0 recommended"
Statistical,isolationForestThreshold,0.5,float,0.3,0.8,detection-config.json:132 / ConfigManager:233,Anomaly detection,MEDIUM,"Isolation forest cutoff. 0.4-0.7 recommended"
Statistical,lookbackPeriods,72,integer,24,288,detection-config.json:133 / ConfigManager:234,Historical context,MEDIUM,"Historical periods (72 = 36hrs at 30sec). 24-144 recommended"
Statistical,trendStrengthThreshold,0.4,float,0.2,0.8,detection-config.json:136 / ConfigManager:237,Trend analysis,MEDIUM,"Min trend strength. 0.3-0.6 recommended"
Statistical,volatilityThreshold,0.6,float,0.3,1.0,detection-config.json:137 / ConfigManager:238,Trend analysis,MEDIUM,"Max volatility tolerance. 0.4-0.8 recommended"
Statistical,stabilityPeriods,12,integer,6,48,detection-config.json:138 / ConfigManager:239,Trend analysis,LOW,"Periods for stability (12 = 6min). 6-24 recommended"

Tier Classification,watchlistEnabled,true,boolean,N/A,N/A,ConfigManager:41,System config,HIGH,"Enable watchlist tier. Usually true"
Tier Classification,watchlistMinVolumeFloor,500,integer,100,5000,ConfigManager:42,Tier threshold,HIGH,"Absolute min for any tier. 300-2000 recommended"
Tier Classification,maxWatchlistSize,100,integer,20,500,ConfigManager:43,System capacity,MEDIUM,"Max watchlist markets. 50-200 recommended"
Tier Classification,watchlistMonitoringIntervalMs,300000,integer,60000,900000,ConfigManager:44,Performance,MEDIUM,"Watchlist check interval (5min). 2-10min range"
Tier Classification,watchlistMinCategoryScore,3,integer,1,10,ConfigManager:48,Watchlist criteria,HIGH,"Min keywords for watchlist. 2-5 recommended"
Tier Classification,watchlistMinOutcomeCount,5,integer,3,20,ConfigManager:49,Watchlist criteria,MEDIUM,"Multi-outcome threshold. 3-10 recommended"
Tier Classification,watchlistMaxDaysToClose,14,integer,3,60,ConfigManager:50,Watchlist criteria,MEDIUM,"Closing soon threshold. 7-30 recommended"
Tier Classification,watchlistRequireMultipleSignals,true,boolean,N/A,N/A,ConfigManager:52,Quality filter,MEDIUM,"Require 2+ signals for watchlist. Usually true"
Tier Classification,activeMonitoringIntervalMs,30000,integer,15000,300000,ConfigManager:57,Performance,CRITICAL,"Active tier check rate (30sec). 15-60sec range"
Tier Classification,activeEnableWebSocket,true,boolean,N/A,N/A,ConfigManager:58,Real-time data,HIGH,"Use WebSocket for active tier. Usually true"
Tier Classification,maxActiveMarkets,200,integer,50,1000,ConfigManager:59,System capacity,HIGH,"Max active tier markets. 100-500 recommended"

Category Volumes,earningsMinVolume,2000,integer,500,20000,ConfigManager:580,Category threshold,HIGH,"Earnings markets threshold. Low-cap edge at 2k+"
Category Volumes,ceoChangesMinVolume,2000,integer,500,20000,ConfigManager:581,Category threshold,HIGH,"Executive turnover threshold"
Category Volumes,mergersMinVolume,5000,integer,1000,50000,ConfigManager:582,Category threshold,HIGH,"M&A markets threshold"
Category Volumes,courtCasesMinVolume,3000,integer,500,30000,ConfigManager:583,Category threshold,HIGH,"Legal outcomes threshold"
Category Volumes,pardonsMinVolume,2000,integer,500,20000,ConfigManager:584,Category threshold,MEDIUM,"Presidential pardons threshold"
Category Volumes,fedMinVolume,10000,integer,2000,100000,ConfigManager:585,Category threshold,HIGH,"Federal Reserve threshold. High volume category"
Category Volumes,economicDataMinVolume,10000,integer,2000,100000,ConfigManager:586,Category threshold,HIGH,"CPI, jobs, GDP threshold"
Category Volumes,politicsMinVolume,10000,integer,2000,100000,ConfigManager:587,Category threshold,CRITICAL,"Elections, legislation threshold. Most liquid"
Category Volumes,sportsAwardsMinVolume,5000,integer,1000,50000,ConfigManager:588,Category threshold,HIGH,"MVP, championships threshold"
Category Volumes,hollywoodAwardsMinVolume,3000,integer,500,30000,ConfigManager:589,Category threshold,MEDIUM,"Oscars, Emmys threshold"
Category Volumes,worldEventsMinVolume,15000,integer,3000,150000,ConfigManager:590,Category threshold,HIGH,"Geopolitical events threshold"
Category Volumes,macroMinVolume,20000,integer,5000,200000,ConfigManager:591,Category threshold,HIGH,"Recession, crash threshold. Very liquid"
Category Volumes,cryptoEventsMinVolume,8000,integer,1000,80000,ConfigManager:592,Category threshold,HIGH,"ETF, mainnet threshold"
Category Volumes,uncategorizedMinVolume,15000,integer,5000,100000,ConfigManager:593,Category threshold,CRITICAL,"Default threshold. Conservative"

Performance,maxConcurrentRequests,10,integer,1,50,detection-config.json:176,System performance,MEDIUM,"API concurrency. 5-20 recommended"
Performance,requestTimeoutMs,15000,integer,5000,60000,detection-config.json:177,Reliability,MEDIUM,"API timeout (15sec). 10-30sec range"
Performance,retryAttempts,3,integer,1,10,detection-config.json:178,Reliability,LOW,"Failed request retries. 2-5 recommended"
Performance,backoffMultiplier,2,integer,1,5,detection-config.json:179,Reliability,LOW,"Exponential backoff. 1.5-3 recommended"
Performance,maxHistoricalDataPoints,10000,integer,1000,100000,detection-config.json:182,Memory management,MEDIUM,"Historical data limit. Adjust per RAM"
Performance,cleanupIntervalMs,300000,integer,60000,1800000,detection-config.json:183,Memory management,LOW,"Cleanup interval (5min). 2-15min range"
Performance,maxRingBufferSize,1000,integer,100,10000,detection-config.json:184,Memory management,MEDIUM,"Ring buffer size. 500-2000 recommended"
Performance,gcThresholdMb,512,integer,256,2048,detection-config.json:185,Memory management,LOW,"GC trigger threshold. Adjust per RAM"
Performance,connectionPoolSize,5,integer,1,20,detection-config.json:188,Database,MEDIUM,"DB connections. 3-10 recommended"
Performance,queryTimeoutMs,30000,integer,5000,120000,detection-config.json:189,Database,MEDIUM,"Query timeout (30sec). 15-60sec range"
Performance,batchSize,100,integer,10,1000,detection-config.json:190,Database,LOW,"Batch insert size. 50-500 recommended"
Performance,vacuumIntervalMs,86400000,integer,3600000,604800000,detection-config.json:191,Database,LOW,"SQLite vacuum (1 day). 12hr-7day range"
Performance,maxWebSocketConnections,50,integer,10,200,detection-config.json:194,WebSocket,MEDIUM,"Max WS connections. 20-100 recommended"
Performance,heartbeatIntervalMs,30000,integer,10000,120000,detection-config.json:195,WebSocket,LOW,"WS heartbeat (30sec). 15-60sec range"
Performance,reconnectDelayMs,5000,integer,1000,30000,detection-config.json:196,WebSocket,LOW,"WS reconnect delay. 3-10sec recommended"
Performance,messageQueueSize,1000,integer,100,10000,detection-config.json:197,WebSocket,LOW,"WS message buffer. 500-2000 recommended"

Features,enableCrossMarketDetection,true,boolean,N/A,N/A,detection-config.json:207,Feature toggle,HIGH,"Enable cross-market correlation. Currently uses Math.random()"
Features,enableMicrostructureAnalysis,true,boolean,N/A,N/A,detection-config.json:208,Feature toggle,HIGH,"Enable orderbook analysis"
Features,enableStatisticalModels,true,boolean,N/A,N/A,detection-config.json:209,Feature toggle,MEDIUM,"Enable anomaly/trend detection"
Features,enableBacktesting,false,boolean,N/A,N/A,detection-config.json:210,Feature toggle,LOW,"Enable backtesting mode"
Features,enableWebDashboard,true,boolean,N/A,N/A,detection-config.json:211,Feature toggle,LOW,"Enable web dashboard"

Environment,logLevel,info,string,N/A,N/A,detection-config.json:201,Logging,LOW,"debug|info|warn|error. info for prod"
Environment,isDevelopment,false,boolean,N/A,N/A,detection-config.json:202,Environment,LOW,"Development mode flag"
Environment,enableDebugMode,false,boolean,N/A,N/A,detection-config.json:203,Debugging,LOW,"Extra debug logging"
Environment,enablePerformanceMode,true,boolean,N/A,N/A,detection-config.json:204,Performance,MEDIUM,"Performance optimizations"
